CompanyCode,Material_Description
1054,POTATO LAUVKAR F G3 GRADE M1
1054,POTATO LAUVKAR F G1 GRADE M1
1054,POTATO ALCANDER MH19 G1 GRADE M7
1054,POTATO CHIP-1 D G1 GRADE M7
1054,POTATO DERBY MH16 G3 GRADE M1
1054,POTATO LAUVKAR F G1 GRADE M2
1054,POTATO DELIARED MH21 G2 GRADE M7
1054,POTATO LAUVKAR F G2 GRADE M3
1054,POTATO DELIARED MH21 G2 GRADE M11
1054,POTATO SAGGITTA MINI GRADE S05
1054,POTATO COLOMBA MH11 G3 GRADE M5
1054,POTATO SYLVANA MH39 G1 GRADE M7
1054,Potato LR I -M1
1054,Potato MH8-M02
1054,POTATO TAURUS MINI GRADE S05
1054,POTATO HZD MH24 G2 GRADE M7
1054,POTATO KCM C G3 GRADE M12
1054,POTATO DOUBLEFUN MH20 G1 GRADE M1
1054,POTATO MEMPHIS MH08 G2 GRADE M7
1054,POTATO COLOMBA MH11 G2 GRADE M12
1054,Potato LR I -M5
1054,POTATO Quintera MH35 G2 GRADE M4
1054,POTATO HIMALINI ZI G3 GRADE M2
1054,POTATO KCM C G2 GRADE M1
1054,POTATO LAUVKAR F G3 GRADE M7
1054,Potato MH4-M01
1054,POTATO CHALLENGER MH40 G1 GRADE M7
1054,POTATO INNOVATOR MH15 G2 GRADE M7
1054,POTATO HERMOSA MH25 G1 GRADE M7
1054,POTATO DELIARED MH21 G1 GRADE M4
1054,POTATO HIMALINI ZI G3 GRADE M1
1054,POTATO SIFRA MH34 G2 GRADE M1
1054,POTATO INNOVATOR MH15 G1 GRADE M4
1054,POTATO TAURUS MH05 G2 GRADE M7
1054,Potato MH5-M07
1054,POTATO MEMPHIS MH08 G3 GRADE M4
1054,POTATO LADYROSSETTA I G1 GRADE M3
1054,POTATO INNOVATOR MH15 Grade M6
1054,POTATO PERDIZ MH22 G1 GRADE M7
1054,POTATO PANAMERA MH06 G3 GRADE M4
1054,POTATO KCM C G2 GRADE M11
1054,POTATO INNOVATOR MH15 G3 GRADE M1
1054,POTATO MEMPHIS MH08 G3 GRADE M0
1054,POTATO HIMALINI ZI G3 GRADE M3
1054,POTATO Quintera MH35 G3 GRADE M7
1054,POTATO HERMOSA MH25 G2 GRADE M7
1054,POTATO COLOMBA MH11 G2 GRADE M7
1054,POTATO INNOVATOR MH15 G2 GRADE M4
1054,POTATO PRIMABELLE MH29 GRADE M11
1054,POTATO HIMALINI ZI G2 GRADE M11
1054,Potato MH4-M05
1054,POTATO LAUVKAR F G1 GRADE M7
1054,POTATO COURAGE MH18 G1 GRADE M1
1054,POTATO PUKHRAJ H G2 GRADE M1
1054,POTATO LADYROSSETTA I G2 GRADE M7
1054,POTATO SAGITTA MH04 G2 GRADE M0
1054,Potato MH5-M06
1054,POTATO HIMALINI ZI G3 GRADE M11
1054,POTATO RED X REDX G1 GRADE M12
1054,POTATO MEMPHIS MH08 G3 GRADE M8
1054,POTATO CHIP-1 D G2 GRADE M0
1054,POTATO DOUBLEFUN MH20 G2 GRADE M7
1054,Potato Atlantic K -M1
1054,POTATO IVORYRUSSET MH17 G2 GRADE M4
1054,POTATO Quintera MH35 G2 GRADE M1
1054,POTATO SUNITA MH28 G1 GRADE M7
1054,POTATO COLOMBA MH11 G3 GRADE M1
1054,POTATO COURAGE MH18 G1 GRADE M4
